Biosample,colA,colB,colC,projectGoldId,biosampleGoldId,sequencingStrategy
SAMEA7723865,2,301,150.5,Gp0618828,Gb0315734,Metagenome
SAMEA7723865,2,301,150.5,Gp0619765,Gb0315734,Targeted Gene Survey
SAMEA7723720,16,2331,145.6875,Gp0618926,Gb0315832,Metagenome
SAMEA7723720,16,2331,145.6875,Gp0619668,Gb0315832,Targeted Gene Survey
SAMEA7723735,18,2681,148.9444444,Gp0619683,Gb0315454,Targeted Gene Survey
SAMEA7723735,18,2681,148.9444444,Gp0618548,Gb0315454,Metagenome
SAMEA7727183,20,2992,149.6,Gp0452733,Gb0240107,Metagenome
SAMEA7723720,22,3282,149.1818182,Gp0618926,Gb0315832,Metagenome
SAMEA7723720,22,3282,149.1818182,Gp0619668,Gb0315832,Targeted Gene Survey
SAMEA7727181,28,4185,149.4642857,Gp0452729,Gb0240103,Metagenome
SAMEA7727181,32,4744,148.25,Gp0452729,Gb0240103,Metagenome
SAMEA7723436,42,6259,149.0238095,Gp0452757,Gb0240131,Metagenome
SAMEA7723436,42,6259,149.0238095,Gp0619155,Gb0240131,Targeted Gene Survey
SAMEA7723483,58,8594,148.1724138,Gp0577816,Gb0297337,Metagenome
SAMEA7723483,58,8594,148.1724138,Gp0619434,Gb0297337,Targeted Gene Survey
SAMEA7723735,58,8562,147.6206897,Gp0619683,Gb0315454,Targeted Gene Survey
SAMEA7723735,58,8562,147.6206897,Gp0618548,Gb0315454,Metagenome
SAMEA7723962,64,9547,149.171875,Gp0619844,Gb0297422,Targeted Gene Survey
SAMEA7723962,64,9547,149.171875,Gp0578367,Gb0297422,Metagenome
SAMEA7723962,68,9857,144.9558824,Gp0619844,Gb0297422,Targeted Gene Survey
SAMEA7723962,68,9857,144.9558824,Gp0578367,Gb0297422,Metagenome
SAMEA7723483,74,10898,147.2702703,Gp0577816,Gb0297337,Metagenome
SAMEA7723483,74,10898,147.2702703,Gp0619434,Gb0297337,Targeted Gene Survey
SAMEA7724224,88,12967,147.3522727,Gp0452716,Gb0240090,Metagenome
SAMEA7724224,88,12967,147.3522727,Gp0619241,Gb0240090,Targeted Gene Survey
SAMEA7724106,132,18976,143.7575758,Gp0452755,Gb0240129,Metagenome
SAMEA7724106,132,18976,143.7575758,Gp0619189,Gb0240129,Targeted Gene Survey
SAMEA7724106,148,21431,144.8040541,Gp0452755,Gb0240129,Metagenome
SAMEA7724106,148,21431,144.8040541,Gp0619189,Gb0240129,Targeted Gene Survey
SAMEA7724404,150,22287,148.58,Gp0452732,Gb0240106,Metagenome
SAMEA7724404,150,22287,148.58,Gp0619353,Gb0240106,Targeted Gene Survey
SAMEA7724404,162,24166,149.1728395,Gp0452732,Gb0240106,Metagenome
SAMEA7724404,162,24166,149.1728395,Gp0619353,Gb0240106,Targeted Gene Survey
SAMEA7724265,196,29162,148.7857143,Gp0452623,Gb0239997,Metagenome
SAMEA7724265,196,29162,148.7857143,Gp0619277,Gb0239997,Targeted Gene Survey
SAMEA7727182,196,29057,148.25,Gp0452731,Gb0240105,Metagenome
SAMEA7723712,210,30968,147.4666667,Gp0619660,Gb0315824,Targeted Gene Survey
SAMEA7723712,210,30968,147.4666667,Gp0618918,Gb0315824,Metagenome
SAMEA7723710,238,35338,148.4789916,Gp0618916,Gb0315822,Metagenome
SAMEA7723710,238,35338,148.4789916,Gp0619658,Gb0315822,Targeted Gene Survey
SAMEA7723712,238,35389,148.6932773,Gp0619660,Gb0315824,Targeted Gene Survey
SAMEA7723712,238,35389,148.6932773,Gp0618918,Gb0315824,Metagenome
SAMEA7727182,244,36153,148.1680328,Gp0452731,Gb0240105,Metagenome
