id_x	name	description	env_broad_scale	env_local_scale	env_medium	type	collection_date	depth	geo_loc_name	lat_lon	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	add_date	community	depth2	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	part_of	alternative_identifiers	GOLD_sample_identifiers	INSDC_biosample_identifiers	host_name	nitrate	salinity	temp	subsurface_depth	env_package	id_y
gold:Gb0115217	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_23-Sept-14	Sterilized sand packs were incubated back in the ground and collected at time point T2.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-09-23'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T2_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042741	gold:Gb0115217	BIOSAMPLE:SAMN06343863							BIOSAMPLE:SAMN06343863
gold:Gb0115218	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_25-Nov-14	Sterilized sand packs were incubated back in the ground and collected at time point T2.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-11-25'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T2_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042742	gold:Gb0115218	BIOSAMPLE:SAMN06343864							BIOSAMPLE:SAMN06343864
gold:Gb0115219	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T2_30-Apr-14	Sterilized sand packs were incubated back in the ground and collected at time point T2.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-04-30'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T2_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042743	gold:Gb0115219	BIOSAMPLE:SAMN06343865							BIOSAMPLE:SAMN06343865
gold:Gb0115220	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_23-Sept-14	Sterilized sand packs were incubated back in the ground and collected at time point T3.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-09-23'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T3_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042744	gold:Gb0115220	BIOSAMPLE:SAMN06343866							BIOSAMPLE:SAMN06343866
gold:Gb0115221	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_25-Nov-14	Sterilized sand packs were incubated back in the ground and collected at time point T3.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-11-25'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T3_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042791	gold:Gb0115221	BIOSAMPLE:SAMN06343867							BIOSAMPLE:SAMN06343867
gold:Gb0115222	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T3_30-Apr-14	Sterilized sand packs were incubated back in the ground and collected at time point T3.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-04-30'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T3_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042745	gold:Gb0115222	BIOSAMPLE:SAMN06343868							BIOSAMPLE:SAMN06343868
gold:Gb0115223	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_1-July-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-07-01'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_1-July-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042746	gold:Gb0115223	BIOSAMPLE:SAMN06343869							BIOSAMPLE:SAMN06343869
gold:Gb0115224	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_10-June-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-06-10'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_10-June-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042747	gold:Gb0115224	BIOSAMPLE:SAMN06343870							BIOSAMPLE:SAMN06343870
gold:Gb0115225	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_12-Aug-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-08-12'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_12-Aug-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042748	gold:Gb0115225	BIOSAMPLE:SAMN06343871							BIOSAMPLE:SAMN06343871
gold:Gb0115226	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_14-Oct-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-10-14'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_14-Oct-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042749	gold:Gb0115226	BIOSAMPLE:SAMN06343872							BIOSAMPLE:SAMN06343872
gold:Gb0115227	Sand microcosm microbial communities from a hyporheic zone in Columbia River, Washington, USA - GW-RW T4_2-Sept-14	Sterilized sand packs were incubated back in the ground and collected at time point T4.	{'has_raw_value': 'ENVO:01000253'}	{'has_raw_value': 'ENVO:01000621'}	{'has_raw_value': 'ENVO:01000017'}	nmdc:Biosample	{'has_raw_value': '2014-09-02'}	{'has_raw_value': '0.5', 'has_numeric_value': 0.5, 'has_unit': 'meter'}	{'has_raw_value': 'USA: Columbia River, Washington'}	{'has_raw_value': '46.37228379 -119.2717467', 'latitude': 46.37228379, 'longitude': -119.2717467}	Engineered	Artificial ecosystem	Sand microcosm	Unclassified	Unclassified	2015-05-28	microbial communities	{'has_raw_value': '1.0', 'has_numeric_value': 1, 'has_unit': 'meter'}	sand microcosm	GW-RW T4_2-Sept-14	groundwater-surface water interaction zone in Washington, USA	2021-06-17	sediment metagenome	sand microcosm	gold:Gs0114663	img.taxon:3300042750	gold:Gb0115227	BIOSAMPLE:SAMN06343873							BIOSAMPLE:SAMN06343873
